"date","open","high","low","close","volume","oi"
11/01/1965,115.48,116.78,115.48,116.28,900900,0
11/04/1965,116.28,117.07,115.82,116.04,753400,0
11/05/1965,116.04,116.57,115.88,116.44,876800,0
11/06/1965,116.44,117.62,116.44,117.38,935000,0
11/07/1965,117.38,117.96,117.38,117.62,886400,0
11/08/1965,117.62,119.39,117.58,119.26,867600,0
11/11/1965,119.26,120.54,119.18,120.40,803900,0
11/12/1965,120.39,122.01,120.39,121.82,1083000,0
11/13/1965,121.82,121.92,120.90,121.17,932100,0
11/14/1965,121.17,121.92,120.80,121.83,980400,0
11/15/1965,121.83,123.10,121.79,122.18,952700,0
11/18/1965,122.18,122.28,121.73,121.96,822100,0
11/19/1965,121.96,122.80,121.74,122.57,1018000,0
11/20/1965,122.57,122.79,122.20,122.20,976000,0
11/21/1965,122.20,123.81,122.20,123.61,1199000,0
11/22/1965,123.61,124.33,123.44,123.97,1042000,0
11/25/1965,123.97,124.17,122.82,123.14,834300,0
11/26/1965,123.14,124.25,123.09,123.95,936300,0
11/27/1965,123.95,125.88,123.88,125.77,1033000,0
11/29/1965,125.77,126.43,125.52,126.06,575900,0
12/02/1965,126.06,126.28,124.86,125.18,857600,0
12/03/1965,125.18,125.42,124.72,125.23,845400,0
12/04/1965,125.23,128.05,125.17,127.94,1172000,0
12/05/1965,128.07,129.89,127.86,128.46,1415000,0
12/06/1965,128.46,128.54,126.78,126.96,1108000,0
12/09/1965,126.96,127.64,126.83,127.49,1048000,0
12/10/1965,127.49,128.52,127.15,127.97,1118000,0
12/11/1965,127.97,129.65,127.97,129.18,1265000,0
12/12/1965,129.18,130.10,129.18,129.76,1173000,0
12/13/1965,129.76,132.17,129.76,132.13,1317000,0
12/16/1965,132.13,133.18,132.06,132.61,1153000,0
12/17/1965,132.54,132.73,131.32,131.54,1210000,0
12/18/1965,131.52,131.98,130.71,131.14,1379000,0
12/19/1965,131.14,132.03,130.91,131.93,1149000,0
12/20/1965,131.93,132.58,131.70,132.26,1158000,0
12/23/1965,132.26,132.26,130.37,130.73,994100,0
12/24/1965,130.73,130.73,129.30,130.03,642800,0
12/26/1965,130.03,130.63,129.89,130.35,539000,0
12/27/1965,130.35,131.59,130.25,131.49,749100,0
12/30/1965,131.49,132.13,131.24,131.95,928200,0
12/31/1965,131.95,132.66,131.90,132.29,1127000,0
01/02/1966,132.29,132.45,131.07,131.26,758100,0
01/03/1966,131.26,131.26,130.00,130.55,891800,0
01/06/1966,130.55,130.70,129.85,130.35,992400,0
01/07/1966,130.35,132.88,130.33,132.79,1275000,0
01/08/1966,132.79,133.88,131.15,131.16,1400000,0
01/09/1966,131.01,131.16,128.05,128.80,1194000,0
01/10/1966,128.80,129.97,128.79,129.57,985000,0
01/13/1966,129.57,129.60,128.63,129.10,894900,0
01/14/1966,129.10,129.96,128.99,129.18,1029000,0
01/15/1966,129.18,131.65,129.01,131.54,1187000,0
01/16/1966,131.54,133.13,131.54,133.06,1239000,0
01/17/1966,133.06,133.60,132.60,132.77,1128000,0
01/20/1966,132.77,132.79,131.15,131.60,894300,0
01/21/1966,131.60,132.01,130.60,131.09,1107000,0
01/22/1966,131.09,131.78,129.47,129.62,1076000,0
01/23/1966,129.62,129.62,128.46,129.27,1111000,0
01/24/1966,129.27,130.54,129.27,130.20,1183000,0
01/27/1966,130.21,130.99,129.79,130.79,1105000,0
01/28/1966,130.79,132.04,130.67,131.99,1154000,0
01/29/1966,131.99,134.13,131.99,133.06,1321000,0
01/30/1966,133.06,133.16,132.09,132.19,1090000,0
01/31/1966,132.19,133.22,132.03,132.93,1093000,0
02/03/1966,132.93,134.43,132.93,134.24,1076000,0
02/04/1966,134.24,135.69,134.24,134.60,1253000,0
02/05/1966,134.60,135.79,134.60,135.71,1053000,0
02/06/1966,135.71,136.94,135.57,136.64,1197000,0
02/07/1966,136.47,137.49,135.74,137.42,1111000,0
02/10/1966,137.40,138.24,137.30,138.13,1074000,0
02/11/1966,138.13,138.61,137.85,138.26,1133000,0
02/12/1966,138.26,138.76,138.04,138.66,1222000,0
